Link	LinkState	VOT	VOTFlow	TotalCostForThisVOT
305	30501	10.0	201.59999999999997	138.582948937728
305	30501	20.0	201.59999999999997	277.165897875456
305	30501	25.0	100.79999999999998	346.45737234432
305	30501	15.0	403.19999999999993	207.87442340659197
305	30501	30.0	100.79999999999998	415.74884681318395
305	30502	10.0	22.4	240.005664669696
305	30502	20.0	22.4	480.011329339392
305	30502	25.0	11.2	600.01416167424
305	30502	15.0	44.8	360.008497004544
305	30502	30.0	11.2	720.016994009088
708	70801	10.0	359.99999999999994	308.95679999999993
708	70801	20.0	359.99999999999994	617.9135999999999
708	70801	25.0	179.99999999999997	772.3919999999998
708	70801	15.0	719.9999999999999	463.43519999999995
708	70801	30.0	179.99999999999997	926.8703999999999
708	70802	10.0	40.0	240.05760000000004
708	70802	20.0	40.0	480.1152000000001
708	70802	25.0	20.0	600.144
708	70802	15.0	80.0	360.0864
708	70802	30.0	20.0	720.1728
405	40501	10.0	95.04	121.41786378122363
405	40501	20.0	95.04	242.33572756244726
405	40501	25.0	47.52	302.79465945305907
405	40501	15.0	190.08	181.87679567183545
405	40501	30.0	47.52	363.2535913436709
405	40502	10.0	10.559999999999999	241.50027979386715
405	40502	20.0	10.559999999999999	481.5005595877343
405	40502	25.0	5.279999999999999	601.5006994846678
405	40502	15.0	21.119999999999997	361.50041969080075
405	40502	30.0	5.279999999999999	721.5008393816015
102	10201	10.0	360.0	308.9568
102	10201	20.0	360.0	617.9136
102	10201	25.0	180.0	772.3919999999999
102	10201	15.0	720.0	463.4352
102	10201	30.0	180.0	926.8704
102	10202	10.0	40.0	240.05760000000004
102	10202	20.0	40.0	480.1152000000001
102	10202	25.0	20.0	600.144
102	10202	15.0	80.0	360.0864
102	10202	30.0	20.0	720.1728
407	40701	10.0	70.4	360.82901886566395
407	40701	20.0	70.4	721.6580377313279
407	40701	25.0	35.2	902.0725471641599
407	40701	15.0	140.8	541.2435282984959
407	40701	30.0	35.2	1082.4870565969918
407	40702	10.0	0.0	720.0
407	40702	20.0	0.0	1440.0
407	40702	25.0	0.0	1800.0
407	40702	15.0	0.0	1080.0
407	40702	30.0	0.0	2160.0
506	50601	10.0	296.64	207.11067365761346
506	50601	20.0	296.64	414.2213473152269
506	50601	25.0	148.32	517.7766841440337
506	50601	15.0	593.28	310.6660104864202
506	50601	30.0	148.32	621.3320209728404
506	50602	10.0	32.96	240.02655408433398
506	50602	20.0	32.96	480.05310816866796
506	50602	25.0	16.48	600.0663852108349
506	50602	15.0	65.92	360.039831126501
506	50602	30.0	16.48	720.079662253002
203	20301	10.0	223.99999999999997	148.82334847999996
203	20301	20.0	223.99999999999997	297.14669695999993
203	20301	25.0	111.99999999999999	371.3083711999999
203	20301	15.0	447.99999999999994	222.98502271999996
203	20301	30.0	111.99999999999999	445.4700454399999
203	20302	10.0	0.0	241.5
203	20302	20.0	0.0	481.5
203	20302	25.0	0.0	601.5
203	20302	15.0	0.0	361.5
203	20302	30.0	0.0	721.5
204	20401	10.0	80.0	120.4608
204	20401	20.0	80.0	240.9216
204	20401	25.0	40.0	301.152
204	20401	15.0	160.0	180.6912
204	20401	30.0	40.0	361.3824
204	20402	10.0	96.0	241.91102975999996
204	20402	20.0	96.0	483.8220595199999
204	20402	25.0	48.0	604.7775743999999
204	20402	15.0	192.0	362.8665446399999
204	20402	30.0	48.0	725.7330892799998
607	60701	10.0	296.64	207.11067365761346
607	60701	20.0	296.64	414.2213473152269
607	60701	25.0	148.32	517.7766841440337
607	60701	15.0	593.28	310.6660104864202
607	60701	30.0	148.32	621.3320209728404
607	60702	10.0	32.96	240.02655408433398
607	60702	20.0	32.96	480.05310816866796
607	60702	25.0	16.48	600.0663852108349
607	60702	15.0	65.92	360.039831126501
607	60702	30.0	16.48	720.079662253002
