Iter. #	RelGap	SPTT	TSTT	SORobjective	Runtime
1	1.2164782956641017E301	1.4777848000000002E7	1.7976931348623157E308	0.0	0.000 s
2	1.2716195088354079	5.542393104998401E7	1.2590208302949218E8	1.2589395502949218E8	0.000 s
3	0.07876993389471787	5.7449194849065915E7	6.19744641296316E7	6.197040012963161E7	0.000 s
4	0.02655277049769711	5.951719697591687E7	6.109754344788463E7	6.109230718121796E7	0.000 s
5	0.1035332216836462	5.711175624655226E7	6.302472036676892E7	6.3018653166768916E7	0.016 s
6	0.029921482378724162	5.8333763121801265E7	6.007919578713491E7	6.0074230027134895E7	0.000 s
7	0.041668340820637084	5.82445017231558E7	6.067145347188444E7	6.066588867188442E7	0.000 s
8	0.017054835429929582	5.894421609819769E7	5.994950000329866E7	5.994442882615582E7	0.000 s
9	0.03042520045891628	5.86852881350661E7	6.0470799790564746E7	6.046529251056476E7	0.000 s
10	0.019789836111299808	5.870972833833678E7	5.9871584240291394E7	5.986660425806918E7	0.000 s
11	0.01920778538178336	5.898321374320593E7	6.011615065391328E7	6.0110812669913284E7	0.000 s
12	0.01468587291581569	5.907879407827004E7	5.994641774012316E7	5.994137326012315E7	0.000 s
13	0.014837976160527289	5.92687378051732E7	6.014816592379091E7	6.014284270779089E7	0.000 s
14	0.013546039938944876	5.922737093459275E7	6.002966726675145E7	6.0024591264289886E7	0.015 s
15	0.00828083459959994	5.948617035717644E7	5.997876549486784E7	5.9973500841153525E7	0.000 s
16	0.006119266134636758	5.950041254740389E7	5.986451140690213E7	5.985934056410745E7	0.000 s
17	0.007717632215832326	5.943667425883116E7	5.989538465089305E7	5.989009966577303E7	0.000 s
18	0.009612345151221557	5.9278679256891795E7	5.98484863820176E7	5.984337103865758E7	0.000 s
19	0.00796372451423788	5.949722627814553E7	5.997104579758595E7	5.996574856707928E7	0.016 s
20	0.009031078823785954	5.938062347819169E7	5.991689456942879E7	5.9911765117369816E7	0.000 s
21	0.004529279042271739	5.963101706819008E7	5.990110258406639E7	5.989584374861036E7	0.000 s
22	0.005255535113863674	5.953472691066557E7	5.9847613758438855E7	5.984242165372266E7	0.000 s
23	0.004822652683688533	5.957442327850443E7	5.9861730030807704E7	5.985645587994223E7	0.000 s
24	0.007244319534241539	5.940166344583054E7	5.983198807669761E7	5.9826835672217615E7	0.000 s
25	0.005224787245821094	5.960681029608626E7	5.9918243198285334E7	5.9912958922658645E7	0.000 s
26	0.005996463524579498	5.952209333627837E7	5.987901539787599E7	5.9873843533914395E7	0.000 s
27	0.0029232275438220157	5.970073478842029E7	5.987525362074021E7	5.98700115546233E7	0.000 s
28	0.0047949271829854645	5.955773305758788E7	5.9843308050782695E7	5.983809566853675E7	0.000 s
29	0.0028857554051551215	5.9677336949818015E7	5.984955114748622E7	5.9844275024606235E7	0.000 s
30	0.0061572136613521344	5.946533123381078E7	5.983147198366044E7	5.9826292486259066E7	0.000 s
31	0.0028492639185553337	5.971003970629255E7	5.98801693680032E7	5.987489407806186E7	0.000 s
32	0.003769954074979376	5.962179295291433E7	5.984656437421474E7	5.984133481975795E7	0.000 s
33	0.003329929194313408	5.965883813917865E7	5.985749784599712E7	5.985221305511711E7	0.000 s
34	0.004973741328930359	5.953541964141034E7	5.983153341861604E7	5.982633380370209E7	0.000 s
35	0.002090418212567391	5.970588552611184E7	5.983069579661309E7	5.982544331390252E7	0.000 s
36	0.004825172806268707	5.956505210695599E7	5.985246377658646E7	5.98471614470962E7	0.000 s
37	0.003252161691362776	5.961972797039659E7	5.981362096575139E7	5.980839720141361E7	0.000 s
38	0.0025537930310328694	5.967206200807633E7	5.982445210417992E7	5.981918041131073E7	0.000 s
39	0.004338757776793711	5.954543566242351E7	5.9803788884476416E7	5.9798590815524824E7	0.000 s
40	0.0018410438066733814	5.969551901554792E7	5.9805421081117645E7	5.9800176882652014E7	0.016 s
41	0.0039341785169613175	5.958981305371034E7	5.982425001605599E7	5.981896199455197E7	0.000 s
42	0.002888471290753758	5.962104023195496E7	5.979325389498983E7	5.9788034508546904E7	0.000 s
43	0.0023607908884180073	5.9662656763361424E7	5.980350781982718E7	5.9798246106394775E7	0.000 s
44	0.0024099602393448105	5.9634550659566715E7	5.977826755554747E7	5.9773038498475835E7	0.000 s
45	0.0024593078336732077	5.964398762455082E7	5.979067055054739E7	5.978540131022739E7	0.000 s
46	0.0033500681107372365	5.9570699934736356E7	5.977026583692202E7	5.976505871340913E7	0.000 s
47	0.001286930673395803	5.969903287326166E7	5.977586138983832E7	5.9770615353358336E7	0.000 s
48	0.0024100100153585657	5.963761510913305E7	5.978134235883816E7	5.9776078762206994E7	0.000 s
49	0.0030129807797252273	5.958131133500746E7	5.976082868089066E7	5.975562320118932E7	0.000 s
50	0.0013306096265757184	5.968836075001808E7	5.976778265742658E7	5.976254061363754E7	0.000 s
51	0.002538413072439516	5.960080305274087E7	5.975209451033784E7	5.974686849539255E7	0.000 s
