LinkID	FromNode	ToNode	NoStates	"BPR for each state and toll {(ffTT (sec), cap(veh), alpha, power, toll($), probOfOccurence),...}"
102	1	2	2	{(12,1000,0.15,4,0,0.9);(24,1000,0.15,4,0,0.1)}
203	2	3	2	{(12,1000,0.15,4,0.5,0.7);(24,1000,0.15,4,1.5,0.3)}
204	2	4	4	{(36,1000,0.15,4,0,0.2);(48,1000,0.15,4,0,0.2);(72,1000,0.15,4,0,0.4);(24,1000,0.15,4,0,0.2)}
305	3	5	2	{(54,1000,0.15,4,0,0.45);(72,1000,0.15,4,0,0.55)}
405	4	5	2	{(12,1000,0.15,4,0.5,0.9);(24,1000,0.15,4,1.5,0.1)}
407	4	7	2	{(54,1000,0.15,4,0,0.4);(72,1000,0.15,4,0,0.6)}
506	5	6	2	{(18,1000,0.15,4,0,0.6);(24,1000,0.15,4,0,0.4)}
607	6	7	2	{(12,1000,0.15,4,0,0.9);(24,1000,0.15,4,0,0.1)}
609	6	9	2	{(36,1000,0.15,4,0.9,0.2);(48,1000,0.15,4,1.6,0.8)}
708	7	8	2	{(24,1000,0.15,4,0,0.9);(72,1000,0.15,4,0,0.1)}
809	8	9	2	{(12,1000,0.15,4,1.2,0.4);(24,1000,0.15,4,1.3,0.6)}
811	8	11	2	{(72,1000,0.15,4,0,0.9);(108,1000,0.15,4,0,0.1)}
910	9	10	3	{(36,1000,0.15,4,0,0.5);(48,1000,0.15,4,0,0.3);(60,1000,0.15,4,0,0.2)}
1011	10	11	2	{(12,1000,0.15,4,0,0.9);(24,1000,0.15,4,0,0.1)}
1112	11	12	2	{(12,1000,0.15,4,0,0.9);(24,1000,0.15,4,0,0.1)}
