Link	LinkState	VOT	VOTFlow	TotalCostForThisVOT
609	60901	10.0	118.06542299349246	367.7294396003216
609	60901	20.0	119.84798264642087	734.5588792006432
609	60901	25.0	60.07392624728853	917.973599000804
609	60901	15.0	238.14663774403456	551.1441594004824
609	60901	30.0	60.21136659436014	1101.388318800965
609	60902	10.0	284.54983080260297	827.3283929115422
609	60902	20.0	302.53424728850354	1653.0567858230843
609	60902	25.0	152.27668546637767	2065.9209822788557
609	60902	15.0	588.4756963123646	1240.1925893673133
609	60902	30.0	152.46660303687656	2478.7851787346267
708	70801	10.0	357.64627158351465	563.2267322699718
708	70801	20.0	339.855993058569	1126.4534645399435
708	70801	25.0	168.88444945770078	1408.0668306749296
708	70801	15.0	696.039899349241	844.8400984049578
708	70801	30.0	168.5898273318873	1689.6801968099155
708	70802	10.0	39.73847462039046	720.1477945735116
708	70802	20.0	37.761777006507664	1440.2955891470233
708	70802	25.0	18.764938828633422	1800.3694864337792
708	70802	15.0	77.33776659436016	1080.2216918602676
708	70802	30.0	18.73220303687639	2160.443383720535
102	10201	10.0	720.0000000000005	3143.308800000006
102	10201	20.0	720.0000000000005	6286.617600000012
102	10201	25.0	360.0000000000002	7858.272000000015
102	10201	15.0	1440.000000000001	4714.963200000009
102	10201	30.0	360.0000000000002	9429.926400000018
102	10202	10.0	80.00000000000001	240.9216
102	10202	20.0	80.00000000000001	481.8432
102	10202	25.0	40.00000000000001	602.304
102	10202	15.0	160.00000000000003	361.3824
102	10202	30.0	40.00000000000001	722.7648
809	80901	10.0	68.42156980477216	121.4249503783286
809	80901	20.0	65.04023739696311	241.6499007566572
809	80901	25.0	32.66585544468543	301.7623759458215
809	80901	15.0	135.30900546637733	181.53742556749287
809	80901	30.0	32.91504728850323	361.87485113498576
809	80902	10.0	1.2444598698481608	241.30000005396425
809	80902	20.0	1.2444598698481608	481.3000001079285
809	80902	25.0	0.6222299349240804	601.3000001349105
809	80902	15.0	2.4889197396963216	361.30000008094635
809	80902	30.0	0.6222299349240804	721.3000001618926
203	20301	10.0	223.5140997830802	148.57839122811095
203	20301	20.0	223.5140997830802	296.6567824562219
203	20301	25.0	111.7570498915401	370.6959780702774
203	20301	15.0	447.0281995661604	222.61758684216645
203	20301	30.0	111.7570498915401	444.7351736843329
203	20302	10.0	50.603036876355766	241.85289181768638
203	20302	20.0	69.13665943600861	482.20578363537277
203	20302	25.0	36.4425162689805	602.382229544216
203	20302	15.0	120.78091106290675	362.0293377265296
203	20302	30.0	37.6919739696312	722.5586754530592
811	81101	10.0	288.14183843817807	1124.6177913865133
811	81101	20.0	273.732892321042	2249.2355827730266
811	81101	25.0	135.67716234273342	2811.5444784662836
811	81101	15.0	558.5651672017365	1686.92668707977
811	81101	30.0	135.13334837310214	3373.85337415954
811	81102	10.0	39.576878091106266	1080.2179900386514
811	81102	20.0	37.600180477223475	2160.4359800773027
811	81102	25.0	18.684140563991335	2700.544975096628
811	81102	15.0	77.01457353579191	1620.3269850579768
811	81102	30.0	18.65140477223428	3240.6539701159536
204	20401	10.0	160.00000000000003	382.11839999999995
204	20401	20.0	160.00000000000003	764.2367999999999
204	20401	25.0	80.00000000000001	955.2959999999998
204	20401	15.0	320.00000000000006	573.1776
204	20401	30.0	80.00000000000001	1146.3552
204	20402	10.0	160.00000000000003	509.49119999999994
204	20402	20.0	160.00000000000003	1018.9823999999999
204	20402	25.0	80.00000000000001	1273.7279999999998
204	20402	15.0	320.00000000000006	764.2367999999999
204	20402	30.0	80.00000000000001	1528.4735999999998
204	20403	10.0	45.882863340564	720.0855709924272
204	20403	20.0	27.34924078091108	1440.1711419848543
204	20403	25.0	11.800433839479394	1800.2139274810681
204	20403	15.0	72.19088937093277	1080.1283564886407
204	20403	30.0	10.550976138828629	2160.2567129772815
204	20404	10.0	160.00000000000003	254.74559999999997
204	20404	20.0	160.00000000000003	509.49119999999994
204	20404	25.0	80.00000000000001	636.8639999999999
204	20404	15.0	320.00000000000006	382.11839999999995
204	20404	30.0	80.00000000000001	764.2367999999999
910	91001	10.0	236.1406417353579	475.22327834650406
910	91001	20.0	244.33346360086765	950.4465566930081
910	91001	25.0	122.81934854663766	1188.0581958662601
910	91001	15.0	482.21012963123695	712.8349175197561
910	91001	30.0	123.10762342733192	1425.6698350395122
910	91002	10.0	141.6843850412146	499.91058249827574
910	91002	20.0	146.6000781605205	999.8211649965515
910	91002	25.0	73.69160912798266	1249.7764562456894
910	91002	15.0	289.32607777874176	749.8658737474136
910	91002	30.0	73.86457405639901	1499.7317474948272
910	91003	10.0	94.45625669414333	604.9161932094507
910	91003	20.0	97.73338544034723	1209.8323864189015
910	91003	25.0	49.12773941865513	1512.2904830236268
910	91003	15.0	192.88405185249476	907.3742898141761
910	91003	30.0	49.24304937093276	1814.7485796283522
305	30501	10.0	123.3527114967462	553.9759326273769
305	30501	20.0	131.69284164858985	1107.9518652547538
305	30501	25.0	66.6898047722343	1384.939831568442
305	30501	15.0	255.51409978308007	830.9638989410653
305	30501	30.0	67.2520607375272	1661.9277978821306
305	30502	10.0	150.76442516268978	761.5834231768381
305	30502	20.0	160.95791757049903	1523.1668463536762
305	30502	25.0	81.5097613882864	1903.958557942095
305	30502	15.0	312.29501084598763	1142.3751347652571
305	30502	30.0	82.19696312364435	2284.7502695305143
1011	101101	10.0	425.0531551236448	523.1892955900875
1011	101101	20.0	439.8002344815625	1046.378591180175
1011	101101	25.0	221.07482738394808	1307.9732389752187
1011	101101	15.0	867.978233336226	784.7839433851311
1011	101101	30.0	221.5937221691976	1569.5678867702622
1011	101102	10.0	47.22812834707167	240.12290483023628
1011	101102	20.0	48.86669272017362	480.24580966047256
1011	101102	25.0	24.563869709327566	600.3072620755906
1011	101102	15.0	96.44202592624738	360.1843572453544
1011	101102	30.0	24.62152468546638	720.3687144907088
405	40501	10.0	285.13874186550987	189.22368812784728
405	40501	20.0	276.62993492407827	377.94737625569456
405	40501	25.0	137.30290672451176	472.3092203196182
405	40501	15.0	561.9560954446856	283.58553219177094
405	40501	30.0	136.81561822125806	566.6710643835419
405	40502	10.0	31.55713665943605	241.52029409795648
405	40502	20.0	30.44511930585685	481.54058819591296
405	40502	25.0	15.110108459869855	601.5507352448911
405	40502	15.0	61.939783080260355	361.5304411469347
405	40502	30.0	15.035140997830803	721.5608822938694
407	40701	10.0	206.6464208242953	622.0224881569362
407	40701	20.0	197.733622559653	1244.0449763138724
407	40701	25.0	98.11713665943601	1555.0562203923405
407	40701	15.0	403.21388286334087	933.0337322354044
407	40701	30.0	97.42993492407804	1866.0674644708088
407	40702	10.0	2.5405639913232143	720.0000028120583
407	40702	20.0	2.5405639913232143	1440.0000056241165
407	40702	25.0	1.2702819956616072	1800.0000070301458
407	40702	15.0	5.081127982646429	1080.0000042180875
407	40702	30.0	1.2702819956616072	2160.000008436175
1112	111201	10.0	720.0000000000005	3143.308800000006
1112	111201	20.0	720.0000000000005	6286.617600000012
1112	111201	25.0	360.0000000000002	7858.272000000015
1112	111201	15.0	1440.000000000001	4714.963200000009
1112	111201	30.0	360.0000000000002	9429.926400000018
1112	111202	10.0	80.00000000000001	240.9216
1112	111202	20.0	80.00000000000001	481.8432
1112	111202	25.0	40.00000000000001	602.304
1112	111202	15.0	160.00000000000003	361.3824
1112	111202	30.0	40.00000000000001	722.7648
506	50601	10.0	354.48780911062926	457.49487217357694
506	50601	20.0	359.8354880694146	914.9897443471539
506	50601	25.0	180.36754880694144	1143.7371804339425
506	50601	15.0	715.0229934924076	686.2423082603655
506	50601	30.0	180.77986984815632	1372.484616520731
506	50602	10.0	236.3252060737528	313.08506921444
506	50602	20.0	239.8903253796095	626.17013842888
506	50602	25.0	120.24503253796097	782.7126730361
506	50602	15.0	476.6819956616052	469.62760382166
506	50602	30.0	120.51991323210417	939.25520764332
607	60701	10.0	187.61606941431674	132.0741526471068
607	60701	20.0	176.86073752711494	264.1483052942136
607	60701	25.0	88.02054663774402	330.185381617767
607	60701	15.0	364.1169631236444	198.11122897066022
607	60701	30.0	88.38039045553153	396.22245794132044
607	60702	10.0	0.5816919739696321	240.00000000143592
607	60702	20.0	0.48284598698481623	480.00000000287184
607	60702	25.0	0.24142299349240812	600.0000000035899
607	60702	15.0	0.9656919739696325	360.0000000021539
607	60702	30.0	0.24142299349240812	720.0000000043078
