Link	LinkState	TotalFlow	Prob
79235	LinkState{link=79235, prob=1.0}	7522.879489863992	1.0
79237	LinkState{link=79237, prob=1.0}	7676.325264046544	1.0
75397	LinkState{link=75397, prob=1.0}	14923.581303716004	1.0
75399	LinkState{link=75399, prob=1.0}	14923.581303716004	1.0
79497	LinkState{link=79497, prob=1.0}	24430.19676808062	1.0
79499	LinkState{link=79499, prob=1.0}	155.0166956799998	1.0
79498	LinkState{link=79498, prob=1.0}	324.58330431999957	1.0
79245	LinkState{link=79245, prob=0.7}	15646.809184488495	0.7
79245	LinkState{link=79245, prob=0.2}	1446.2095713554697	0.2
79245	LinkState{link=79245, prob=0.1}	2237.947389233467	0.1
79500	LinkState{link=79500, prob=1.0}	10901.048409893361	1.0
79246	LinkState{link=79246, prob=1.0}	7522.879489863992	1.0
75409	LinkState{link=75409, prob=1.0}	7522.879489863992	1.0
90001	LinkState{link=90001, prob=1.0}	479.59999999999957	1.0
75411	LinkState{link=75411, prob=1.0}	12083.710105407998	1.0
90003	LinkState{link=90003, prob=1.0}	0.0	1.0
90002	LinkState{link=90002, prob=1.0}	19236.26834208938	1.0
79509	LinkState{link=79509, prob=1.0}	0.0	1.0
90005	LinkState{link=90005, prob=1.0}	52924.29999999993	1.0
75412	LinkState{link=75412, prob=1.0}	14923.581303716004	1.0
90004	LinkState{link=90004, prob=1.0}	33688.031657910564	1.0
79511	LinkState{link=79511, prob=1.0}	33688.031657910564	1.0
79510	LinkState{link=79510, prob=0.8}	15636.208257860717	0.8
79510	LinkState{link=79510, prob=0.2}	3600.060084228661	0.2
79899	LinkState{link=79899, prob=1.0}	12083.710105407998	1.0
79515	LinkState{link=79515, prob=1.0}	5518.511730311238	1.0
79258	LinkState{link=79258, prob=1.0}	16587.80957465661	1.0
79517	LinkState{link=79517, prob=1.0}	5893.676917223385	1.0
79901	LinkState{link=79901, prob=1.0}	14923.581303716004	1.0
79900	LinkState{link=79900, prob=1.0}	3364.170404727996	1.0
79260	LinkState{link=79260, prob=1.0}	11886.23155932486	1.0
79516	LinkState{link=79516, prob=1.0}	0.0	1.0
79903	LinkState{link=79903, prob=1.0}	14550.35869628399	1.0
79519	LinkState{link=79519, prob=1.0}	5893.676917223385	1.0
79902	LinkState{link=79902, prob=1.0}	17914.529101011976	1.0
79518	LinkState{link=79518, prob=1.0}	22275.843010375935	1.0
79264	LinkState{link=79264, prob=1.0}	1620.1954990399984	1.0
79269	LinkState{link=79269, prob=1.0}	5514.9043485659695	1.0
79525	LinkState{link=79525, prob=1.0}	27794.35474068717	1.0
79268	LinkState{link=79268, prob=1.0}	4751.131711718883	1.0
79273	LinkState{link=79273, prob=1.0}	10266.036060284854	1.0
79531	LinkState{link=79531, prob=0.7}	0.0	0.7
79531	LinkState{link=79531, prob=0.3}	0.0	0.3
79274	LinkState{link=79274, prob=1.0}	10266.036060284854	1.0
79279	LinkState{link=79279, prob=1.0}	5514.9043485659695	1.0
79278	LinkState{link=79278, prob=1.0}	6371.3272107588755	1.0
75317	LinkState{link=75317, prob=1.0}	7522.879489863992	1.0
75316	LinkState{link=75316, prob=1.0}	22970.759999999995	1.0
79288	LinkState{link=79288, prob=1.0}	11886.23155932486	1.0
79292	LinkState{link=79292, prob=1.0}	5970.916552044031	1.0
79294	LinkState{link=79294, prob=1.0}	22503.124581937445	1.0
79298	LinkState{link=79298, prob=0.5}	5930.747355068162	0.5
79298	LinkState{link=79298, prob=0.5}	40.16919697586671	0.5
79300	LinkState{link=79300, prob=1.0}	5915.31500728083	1.0
79304	LinkState{link=79304, prob=1.0}	5511.378649981903	1.0
75236	LinkState{link=75236, prob=1.0}	7522.879489863992	1.0
79207	LinkState{link=79207, prob=0.6}	14413.021928030617	0.6
79207	LinkState{link=79207, prob=0.3}	7658.33163204915	0.3
79207	LinkState{link=79207, prob=0.1}	1899.3053059387294	0.1
79209	LinkState{link=79209, prob=1.0}	459.5379020621189	1.0
75240	LinkState{link=75240, prob=1.0}	15447.88051013599	1.0
79210	LinkState{link=79210, prob=1.0}	28014.503231919298	1.0
79477	LinkState{link=79477, prob=1.0}	24754.780072400637	1.0
79479	LinkState{link=79479, prob=1.0}	5162.388188349998	1.0
75385	LinkState{link=75385, prob=1.0}	27007.29140912395	1.0
79225	LinkState{link=79225, prob=1.0}	7522.879489863992	1.0
79224	LinkState{link=79224, prob=0.7}	17913.59805554091	0.7
79224	LinkState{link=79224, prob=0.2}	5118.170873011702	0.2
79224	LinkState{link=79224, prob=0.1}	2559.085436505851	0.1
79480	LinkState{link=79480, prob=1.0}	5893.676917223385	1.0
79227	LinkState{link=79227, prob=0.7}	13527.530418556611	0.7
79227	LinkState{link=79227, prob=0.2}	1127.7748105918643	0.2
79227	LinkState{link=79227, prob=0.1}	1932.5043455080925	0.1
79226	LinkState{link=79226, prob=1.0}	2743.1565704208483	1.0
79482	LinkState{link=79482, prob=0.6}	16802.718332924956	0.6
79482	LinkState{link=79482, prob=0.4}	310.7364891009968	0.4
75386	LinkState{link=75386, prob=1.0}	29473.93999999998	1.0
79231	LinkState{link=79231, prob=1.0}	7522.879489863992	1.0
79487	LinkState{link=79487, prob=0.3}	3316.8195316720144	0.3
79487	LinkState{link=79487, prob=0.7}	7739.245573901358	0.7
