Link	LinkState	VOT	VOTFlow	TotalCostForThisVOT
79235	7923501	10.0	1049.769375921375	0.002683652360346008
79235	7923501	20.0	1049.769375921375	0.005367304720692016
79235	7923501	25.0	524.8846879606875	0.0067091309008650195
79235	7923501	15.0	2099.53875184275	0.004025478540519012
79235	7923501	30.0	524.8846879606875	0.008050957081038024
79237	7923701	10.0	0.0	6.444444444444444E-4
79237	7923701	20.0	0.0	0.001288888888888889
79237	7923701	25.0	0.0	0.0016111111111111111
79237	7923701	15.0	0.0	9.666666666666667E-4
79237	7923701	30.0	0.0	0.0019333333333333333
75397	7539701	10.0	2947.394000000005	0.00894463175841303
75397	7539701	20.0	2947.394000000005	0.01788926351682606
75397	7539701	25.0	1473.6970000000024	0.022361579396032574
75397	7539701	15.0	5894.78800000001	0.013416947637619546
75397	7539701	30.0	1473.6970000000024	0.026833895275239092
75399	7539901	10.0	2947.394000000005	6.016286743890583E-4
75399	7539901	20.0	2947.394000000005	0.0012032573487781165
75399	7539901	25.0	1473.6970000000024	0.0015040716859726455
75399	7539901	15.0	5894.78800000001	9.024430115835873E-4
75399	7539901	30.0	1473.6970000000024	0.0018048860231671747
79497	7949701	10.0	0.0	0.06479644444444445
79497	7949701	20.0	0.0	0.0654408888888889
79497	7949701	25.0	0.0	0.0657631111111111
79497	7949701	15.0	0.0	0.06511866666666667
79497	7949701	30.0	0.0	0.06608533333333333
79499	7949901	10.0	47.96000000000004	0.001095239808510467
79499	7949901	20.0	47.96000000000004	0.002190479617020934
79499	7949901	25.0	23.98000000000002	0.002738099521276167
79499	7949901	15.0	95.92000000000009	0.0016428597127657004
79499	7949901	30.0	23.98000000000002	0.003285719425531401
79498	7949801	10.0	0.0	3.111111111111111E-4
79498	7949801	20.0	0.0	6.222222222222223E-4
79498	7949801	25.0	0.0	7.777777777777777E-4
79498	7949801	15.0	0.0	4.6666666666666666E-4
79498	7949801	30.0	0.0	9.333333333333333E-4
79245	7924501	10.0	4194.700624078628	0.0032553245764752603
79245	7924501	20.0	4194.700624078628	0.006510649152950521
79245	7924501	25.0	2097.350312039314	0.00813831144118815
79245	7924501	15.0	8389.401248157255	0.0048829868647128905
79245	7924501	30.0	2097.350312039314	0.009765973729425781
79500	7950001	10.0	1597.8237837837855	0.0013150652245362308
79500	7950001	20.0	1597.8237837837855	0.0026301304490724616
79500	7950001	25.0	798.9118918918928	0.003287663061340577
79500	7950001	15.0	3195.647567567571	0.0019725978368043463
79500	7950001	30.0	798.9118918918928	0.0039451956736086926
79246	7924601	10.0	1049.769375921375	1.9878906372933393E-4
79246	7924601	20.0	1049.769375921375	3.9757812745866785E-4
79246	7924601	25.0	524.8846879606875	4.969726593233348E-4
79246	7924601	15.0	2099.53875184275	2.9818359559400086E-4
79246	7924601	30.0	524.8846879606875	5.963671911880017E-4
75409	7540901	10.0	1049.769375921375	0.0026339550944136747
75409	7540901	20.0	1049.769375921375	0.005267910188827349
75409	7540901	25.0	524.8846879606875	0.006584887736034186
75409	7540901	15.0	2099.53875184275	0.003950932641620512
75409	7540901	30.0	524.8846879606875	0.007901865283241024
90001	9000101	10.0	47.96000000000004	0.0
90001	9000101	20.0	47.96000000000004	0.0
90001	9000101	25.0	23.98000000000002	0.0
90001	9000101	15.0	95.92000000000009	0.0
90001	9000101	30.0	23.98000000000002	0.0
75411	7541101	10.0	1247.306624078624	0.0012475725812798233
75411	7541101	20.0	1247.306624078624	0.0024951451625596466
75411	7541101	25.0	623.653312039312	0.003118931453199558
75411	7541101	15.0	2494.613248157248	0.0018713588719197348
75411	7541101	30.0	623.653312039312	0.0037427177438394696
90003	9000301	10.0	0.0	0.0
90003	9000301	20.0	0.0	0.0
90003	9000301	25.0	0.0	0.0
90003	9000301	15.0	0.0	0.0
90003	9000301	30.0	0.0	0.0
90002	9000201	10.0	0.0	0.0
90002	9000201	20.0	0.0	0.0
90002	9000201	25.0	0.0	0.0
90002	9000201	15.0	0.0	0.0
90002	9000201	30.0	0.0	0.0
79509	7950901	10.0	0.0	0.001380952777777778
79509	7950901	20.0	0.0	0.002761905555555556
79509	7950901	25.0	0.0	0.003452381944444444
79509	7950901	15.0	0.0	0.0020714291666666666
79509	7950901	30.0	0.0	0.004142858333333333
90005	9000501	10.0	5292.4299999999985	0.0
90005	9000501	20.0	5292.4299999999985	0.0
90005	9000501	25.0	2646.2149999999992	0.0
90005	9000501	15.0	10584.859999999997	0.0
90005	9000501	30.0	2646.2149999999992	0.0
75412	7541201	10.0	2947.394000000005	7.534639629942574E-4
75412	7541201	20.0	2947.394000000005	0.0015069279259885147
75412	7541201	25.0	1473.6970000000024	0.0018836599074856433
75412	7541201	15.0	5894.78800000001	0.001130195944491386
75412	7541201	30.0	1473.6970000000024	0.002260391888982772
90004	9000401	10.0	5292.4299999999985	0.0
90004	9000401	20.0	5292.4299999999985	0.0
90004	9000401	25.0	2646.2149999999992	0.0
90004	9000401	15.0	10584.859999999997	0.0
90004	9000401	30.0	2646.2149999999992	0.0
79511	7951101	10.0	5292.4299999999985	0.001326591554770803
79511	7951101	20.0	5292.4299999999985	0.002653183109541606
79511	7951101	25.0	2646.2149999999992	0.0033164788869270074
79511	7951101	15.0	10584.859999999997	0.0019898873321562045
79511	7951101	30.0	2646.2149999999992	0.003979774664312409
79510	7951001	10.0	0.0	0.15640455555555555
79510	7951001	20.0	0.0	0.1579601111111111
79510	7951001	25.0	0.0	0.15873788888888887
79510	7951001	15.0	0.0	0.1571823333333333
79510	7951001	30.0	0.0	0.15951566666666667
79899	7989901	10.0	1247.306624078624	3.9802733942030747E-4
79899	7989901	20.0	1247.306624078624	7.960546788406149E-4
79899	7989901	25.0	623.653312039312	9.950683485507685E-4
79899	7989901	15.0	2494.613248157248	5.970410091304612E-4
79899	7989901	30.0	623.653312039312	0.0011940820182609225
79515	7951501	10.0	0.0	5.777777777777778E-4
79515	7951501	20.0	0.0	0.0011555555555555555
79515	7951501	25.0	0.0	0.0014444444444444444
79515	7951501	15.0	0.0	8.666666666666666E-4
79515	7951501	30.0	0.0	0.0017333333333333333
79258	7925801	10.0	3958.9183980343973	8.995859742748392E-4
