PKFRTIME_AB,PMCAP_AB,alpha,power,TOLL_AUTO_DA_PM_AB,Prob of occurrence
0.232,6880,0.15,4,0,10
0.392,6880,0.15,4,0,1
0.283636,12160,0.15,4,0,1
0.141818,12160,0.15,4,0,1
0.294545,4560,0.15,4,0,1
0.584,6880,0.15,4,0,1
0.45,12480,0.15,4,0,1
0.28,4560,0.15,4,0,1
0.255,4930,0.15,4,0,1
0.795,4930,0.15,4,0,1
0.375,4930,0.15,4,0,1
0.06,4930,0.15,4,0,1
0.563077,12800,0.15,4,0,1
0.232,6880,0.15,4,0,1
0.81,4930,0.15,4,0,1
0.57,4930,0.15,4,0,1
0.608,13760,0.15,4,0.168121,1
0.72,9120,0.15,4,0,1
0.895385,12800,0.15,4,0,1
0.12,7395,0.15,4,0,1
0.09,7395,0.15,4,0,1
0.264,6880,0.15,4,0,1
1.256,13760,0.15,4,0.347304,1
0.39,4930,0.15,4,0,1
0.435,4930,0.15,4,0,1
0.3,4930,0.15,4,0,1
0.255,4930,0.15,4,0,1
0.06,9860,0.15,4,0,1
0.075,9860,0.15,4,0,1
0.207273,4560,0.15,4,0,1
0.645,7395,0.15,4,0,1
0.276923,19200,0.15,4,0,1
0.646154,12800,0.15,4,0,1
0.152727,9120,0.15,4,0,1
0.328,6880,0.15,4,0,1
0.349091,4560,0.15,4,0,1
0.193846,15669.0432,0.15,4,0,1
0.232,13760,0.15,4,0.064152,1
0.112,6880,0.15,4,0,1
0.394286,4930,0.15,4,0,1
0.435,9120,0.15,4,0,1
0.766154,12800,0.15,4,0,1
0.394286,9860,0.15,4,0,1
0.327273,4560,0.15,4,0,1
0.428571,7395,0.15,4,0,1
0.48,13760,0.15,4,0.132728,1
0.257143,7395,0.15,4,0,1
0.208,6880,0.15,4,0,1
0.24,12800,0.15,4,0,1
0.56,13760,0.15,4,0.154849,1
0.396923,24528.64,0.15,4,0,1
0.497143,4930,0.15,4,0,1
0.342857,4930,0.15,4,0,1
0.327273,4560,0.15,4,0,1
0.129231,19200,0.15,4,0,1
0.617143,4930,0.15,4,0,1
0.730909,18240,0.15,4,0,1
0.12,18240,0.15,4,0,1
0.163636,12160,0.15,4,0,1
0.185455,4560,0.15,4,0,1
0.21,12480,0.15,4,0,1
0.229091,12160,0.15,4,0,1
