Link	LinkState	VOT	VOTFlow	TotalCostForThisVOT
79235	7923501	0.35	0.0	0.2835
79235	7923501	1.0	0.0	0.81
79235	7923501	0.17	0.0	0.13770000000000002
79235	7923501	0.45	0.0	0.36450000000000005
79235	7923501	0.9	0.0	0.7290000000000001
79237	7923701	0.35	497.01771557407346	0.08127257401724909
79237	7923701	1.0	1.808123474747476	0.23220735433499742
79237	7923701	0.17	0.0	0.03947525023694957
79237	7923701	0.45	1377.8464788323242	0.10449330945074885
79237	7923701	0.9	34.8171395286196	0.2089866189014977
75397	7539701	0.35	1408.5169198922556	0.15564970353959623
75397	7539701	1.0	0.8336063838383844	0.4447134386845607
75397	7539701	0.17	3311.3971589999987	0.07560128457637533
75397	7539701	0.45	3230.5819972525237	0.2001210474080523
75397	7539701	0.9	16.051884831649872	0.4002420948161046
75399	7539901	0.35	1408.5169198922556	0.058855911348703396
75399	7539901	1.0	0.8336063838383844	0.16815974671058115
75399	7539901	0.17	3311.3971589999987	0.0285871569407988
75399	7539901	0.45	3230.5819972525237	0.07567188601976152
75399	7539901	0.9	16.051884831649872	0.15134377203952304
79497	7949701	0.35	152.87316617870368	0.15196303475419923
79497	7949701	1.0	440.53548000000023	0.3150406707262835
79497	7949701	0.17	0.0	0.1068030740234682
79497	7949701	0.45	2734.315811480927	0.1770519018268276
79497	7949701	0.9	8482.930225000007	0.2899518036536552
79499	7949901	0.35	0.0	0.13800010000000004
79499	7949901	1.0	0.0	0.39428600000000014
79499	7949901	0.17	0.9071222222222248	0.06702862000000002
79499	7949901	0.45	0.0	0.17742870000000008
79499	7949901	0.9	0.0	0.35485740000000016
79498	7949801	0.35	22.996819999999968	0.039200008547446305
79498	7949801	1.0	4.028640000000005	0.11200002442127517
79498	7949801	0.17	52.97593777777781	0.01904000415161678
79498	7949801	0.45	81.31617999999996	0.05040001098957383
79498	7949801	0.9	77.57530000000004	0.10080002197914766
79245	7924501	0.35	1754.379398074076	0.2115194501320921
79245	7924501	1.0	0.0	0.6043412860916918
79245	7924501	0.17	4124.513431500001	0.10273801863558761
79245	7924501	0.45	4822.46267591313	0.2719535787412613
79245	7924501	0.9	0.0	0.5439071574825226
79245	7924502	0.35	4.233541018518519	0.3941568088764251
79245	7924502	1.0	0.0	1.1261623110755004
79245	7924502	0.17	1178.4324090000007	0.19144759288283508
79245	7924502	0.45	0.0	0.5067730399839752
79245	7924502	0.9	0.0	1.0135460799679503
79245	7924503	0.35	250.62562829629604	0.157665812144551
79245	7924503	1.0	0.0	0.45047374898443143
79245	7924503	0.17	589.2162045000003	0.07658053732735334
79245	7924503	0.45	688.9232394161621	0.20271318704299415
79245	7924503	0.9	0.0	0.4054263740859883
79500	7950001	0.35	944.7400795285189	0.15589560373288508
79500	7950001	1.0	0.0	0.44541601066538594
79500	7950001	0.17	2356.8648180000014	0.07572072181311562
79500	7950001	0.45	2463.0732294076242	0.20043720479942367
79500	7950001	0.9	0.0	0.40087440959884735
79246	7924601	0.35	0.0	0.020999999999999998
79246	7924601	1.0	0.0	0.06
79246	7924601	0.17	0.0	0.0102
79246	7924601	0.45	0.0	0.027
79246	7924601	0.9	0.0	0.054
75409	7540901	0.35	0.0	0.27825
75409	7540901	1.0	0.0	0.795
75409	7540901	0.17	0.0	0.13515000000000002
75409	7540901	0.45	0.0	0.35775
75409	7540901	0.9	0.0	0.7155
90001	9000101	0.35	22.996819999999968	0.0
90001	9000101	1.0	4.028640000000005	0.0
90001	9000101	0.17	53.88306000000005	0.0
90001	9000101	0.45	81.31617999999996	0.0
90001	9000101	0.9	77.57530000000004	0.0
75411	7541101	0.35	1097.7393630707074	0.20785899786884235
75411	7541101	1.0	0.9745170909090919	0.5938828510538353
75411	7541101	0.17	2580.764885999999	0.100960084679152
75411	7541101	0.45	3658.650396909089	0.2672472829742259
75411	7541101	0.9	18.765254696969706	0.5344945659484518
90003	9000301	0.35	0.0	0.0
90003	9000301	1.0	0.0	0.0
90003	9000301	0.17	0.0	0.0
90003	9000301	0.45	0.0	0.0
90003	9000301	0.9	0.0	0.0
90002	9000201	0.35	0.0	0.0
90002	9000201	1.0	355.6512959999999	0.0
90002	9000201	0.17	0.0	0.0
90002	9000201	0.45	0.0	0.0
90002	9000201	0.9	6848.404419999999	0.0
79509	7950901	0.35	0.0	0.17400005
79509	7950901	1.0	0.0	0.497143
79509	7950901	0.17	0.0	0.08451431000000001
79509	7950901	0.45	0.0	0.22371435
79509	7950901	0.9	0.0	0.4474287
90005	9000501	0.35	2537.7201849999988	0.0
90005	9000501	1.0	444.56412000000006	0.0
90005	9000501	0.17	5946.045104999998	0.0
90005	9000501	0.45	8973.315065000003	0.0
90005	9000501	0.9	8560.505525000004	0.0
75412	7541201	0.35	1408.5169198922556	0.07533139794664341
75412	7541201	1.0	0.8336063838383844	0.21523256556183834
75412	7541201	0.17	3311.3971589999987	0.03658953614551252
75412	7541201	0.45	3230.5819972525237	0.09685465450282725
75412	7541201	0.9	16.051884831649872	0.1937093090056545
90004	9000401	0.35	2537.7201849999988	0.0
90004	9000401	1.0	88.91282399999997	0.0
90004	9000401	0.17	5946.045104999998	0.0
90004	9000401	0.45	8973.315065000003	0.0
90004	9000401	0.9	1712.1011049999997	0.0
79511	7951101	0.35	2537.7201849999988	0.14684122190197843
79511	7951101	1.0	88.91282399999997	0.419546348291367
79511	7951101	0.17	5946.045104999998	0.0713228792095324
79511	7951101	0.45	8973.315065000003	0.18879585673111515
79511	7951101	0.9	1712.1011049999997	0.3775917134622303
79510	7951001	0.35	0.0	0.35305792945708175
79510	7951001	1.0	355.6512959999999	0.7211602270202336
79510	7951001	0.17	0.0	0.2511219085934397
79510	7951001	0.45	0.0	0.4096890521591051
79510	7951001	0.9	6848.404419999999	0.6645291043182103
79510	7951002	0.35	0.0	0.446
79510	7951002	1.0	0.0	0.81
