Iter. #	RelGap	SPTT	TSTT	SORobjective	Runtime
1	2.1899807007625897E303	82087.1679022709	1.7976931348623157E308	0.0	0.016 s
2	0.5962142370559564	90835.6383309225	144993.13913588427	135079.4592771757	0.016 s
3	0.062491922206130646	89655.27002529484	95258.00018508521	85665.4725826982	0.000 s
4	0.05694599179836768	92347.01821230075	97605.81075402214	87089.16154089411	0.000 s
5	0.04184707524585929	90679.14418208186	94473.80115189956	84514.21140968395	0.015 s
6	0.01853655893183226	93594.09704185577	95329.00953734375	84923.01616817634	0.000 s
7	0.014504314034222254	92695.93408580661	94040.42502348272	83987.36199426348	0.000 s
8	0.010201660406931934	93319.69594768593	94271.71179502236	84209.93745717149	0.016 s
9	0.008661101959574369	93101.38802219447	93907.74863643259	84067.64467462829	0.000 s
10	0.010264803818992974	92698.19255258878	93649.72131351635	83933.75217761027	0.000 s
11	0.007009680035695354	93666.70410574715	94323.27773152658	84427.78181770278	0.015 s
12	0.006061659712749856	93426.69488273058	93993.0157151966	84204.12029092775	0.000 s
13	0.005355336798110288	93251.25368389647	93750.64555421977	84050.58387124664	0.000 s
14	0.005312032835654401	93504.59973900119	94001.29924309948	84255.62117661674	0.000 s
15	0.00464457172635413	93344.54951057414	93778.09496604021	84104.9623100557	0.000 s
16	0.004624264943458689	93172.84240297611	93603.69831178259	83993.43834489651	0.016 s
17	0.004223920461661201	93418.48379850233	93813.0760437162	84160.14015797312	0.000 s
18	0.003714685491660319	93299.93760509224	93646.5175296867	84047.86950078105	0.000 s
19	0.004133195235149101	93126.05785940541	93510.96603801812	83960.57388185679	0.015 s
20	0.003464311718287094	93366.42416960311	93689.87456694842	84100.39385750095	0.000 s
21	0.003146300405534541	93264.40208988442	93557.83991600176	84011.33112605127	0.000 s
22	0.0032967916332211633	93423.11743296469	93731.11398486713	84149.05443879055	0.000 s
23	0.002903816344905552	93332.05339404053	93603.07253618975	84059.74104586637	0.000 s
24	0.002965236848428754	93217.66721544162	93494.07967719341	83986.10858560115	0.016 s
25	0.002812376750995771	93383.3905549316	93646.01983145745	84105.33609082332	0.000 s
26	0.002481342371365436	93307.50869817218	93539.0365730715	84030.77848928246	0.000 s
27	0.002916119017398522	93174.58590444547	93446.29408633967	83967.96737809978	0.000 s
28	0.0027175396781877748	93488.78878986248	93742.84828286464	84189.22860400092	0.000 s
29	0.0023963620643840944	93413.09868105211	93636.95028704796	84112.74408530413	0.000 s
30	0.0021125056437609757	93346.52713946774	93543.72220487535	84046.90096458794	0.000 s
31	0.0024595569333121237	93232.03803661234	93461.34754217211	83990.08559924409	0.000 s
32	0.0020967245613852104	93384.2338302373	93580.03484695528	84082.2628161024	0.000 s
33	0.00198082425415147	93313.8413765277	93498.67969677436	84024.89921940102	0.015 s
34	0.0020874842451188425	93418.7482280662	93613.758393191	84115.1508191139	0.000 s
35	0.0018427046406490621	93361.68059800914	93533.71860010589	84057.71588645728	0.000 s
36	0.0019555481934505625	93279.31548160444	93461.72767848079	84007.03811895053	0.000 s
37	0.0018473287627236434	93394.19052369875	93566.72029812446	84088.7422633423	0.000 s
38	0.0016295298277564374	93343.49371171893	93495.59971894916	84037.83616295819	0.000 s
39	0.0019362354691006	93250.54865461722	93431.10367443538	83992.49067729921	0.000 s
40	0.0016487476596822592	93373.86752297095	93527.81746852493	84067.29519776159	0.000 s
41	0.0015897407945841824	93315.49960419521	93463.847060683	84021.58678870102	0.016 s
42	0.0016678427822169883	93402.2042299911	93557.98442215925	84094.97257952811	0.000 s
43	0.0014736374481567616	93357.14713913659	93494.72172721391	84049.16153989523	0.000 s
44	0.001601352666034117	93287.30368268544	93436.68955514484	84007.76931824039	0.000 s
45	0.0017140316496353503	93463.7602454004	93623.96008855493	84147.71447260094	0.000 s
46	0.001521204000546117	93418.71629797042	93560.82522292876	84101.16190245129	0.016 s
47	0.0013435028843811203	93377.11282895276	93502.56524937363	84058.76325500428	0.015 s
48	0.0014832536220321657	93310.3248548961	93448.72773221011	84020.11211390163	0.000 s
49	0.0013722226234231805	93400.69424890484	93528.8607945966	84082.2356127404	0.000 s
50	0.0012298830606956024	93360.67416220796	93475.49687389519	84043.49583208692	0.000 s
51	0.001402554824783353	93422.85763552718	93553.88831524894	84104.66580090491	0.016 s
52	0.0012421178339314665	93385.06325181722	93501.05850430513	84065.93756240884	0.000 s
53	0.001249328554920437	93335.42385378641	93452.03046399256	84030.468726373	0.000 s
