Link	LinkState	TotalFlow	Prob
79235	LinkState{link=79235, prob=1.0}	0.0	1.0
79237	LinkState{link=79237, prob=1.0}	694.5822214125	1.0
75397	LinkState{link=75397, prob=1.0}	2830.8337779062504	1.0
75399	LinkState{link=75399, prob=1.0}	2830.8337779062504	1.0
79497	LinkState{link=79497, prob=1.0}	5161.577908570625	1.0
79499	LinkState{link=79499, prob=1.0}	26.941530000000004	1.0
79498	LinkState{link=79498, prob=1.0}	92.95847000000003	1.0
79245	LinkState{link=79245, prob=0.7}	4548.304064303124	0.7
79245	LinkState{link=79245, prob=0.2}	604.9332255312501	0.2
79245	LinkState{link=79245, prob=0.1}	649.757723471875	0.1
79500	LinkState{link=79500, prob=1.0}	3179.838836571749	1.0
79246	LinkState{link=79246, prob=1.0}	0.0	1.0
75409	LinkState{link=75409, prob=1.0}	0.0	1.0
90001	LinkState{link=90001, prob=1.0}	119.90000000000003	1.0
75411	LinkState{link=75411, prob=1.0}	3666.7434568125	1.0
90003	LinkState{link=90003, prob=1.0}	0.0	1.0
90002	LinkState{link=90002, prob=1.0}	3602.0278580000004	1.0
79509	LinkState{link=79509, prob=1.0}	0.0	1.0
90005	LinkState{link=90005, prob=1.0}	13231.074999999999	1.0
75412	LinkState{link=75412, prob=1.0}	2830.8337779062504	1.0
90004	LinkState{link=90004, prob=1.0}	9629.047142	1.0
79511	LinkState{link=79511, prob=1.0}	9629.047142	1.0
79510	LinkState{link=79510, prob=0.8}	3602.0278580000004	0.8
79510	LinkState{link=79510, prob=0.2}	0.0	0.2
79899	LinkState{link=79899, prob=1.0}	3666.7434568125	1.0
79515	LinkState{link=79515, prob=1.0}	1652.508520570625	1.0
79258	LinkState{link=79258, prob=1.0}	4642.396010644999	1.0
79517	LinkState{link=79517, prob=1.0}	0.0	1.0
79901	LinkState{link=79901, prob=1.0}	2830.8337779062504	1.0
79900	LinkState{link=79900, prob=1.0}	2075.9465431875	1.0
79260	LinkState{link=79260, prob=1.0}	3307.201080784375	1.0
79516	LinkState{link=79516, prob=1.0}	0.0	1.0
79903	LinkState{link=79903, prob=1.0}	4537.651222093749	1.0
79519	LinkState{link=79519, prob=1.0}	0.0	1.0
79902	LinkState{link=79902, prob=1.0}	6613.597765281251	1.0
79518	LinkState{link=79518, prob=1.0}	7976.538621429374	1.0
79264	LinkState{link=79264, prob=1.0}	2146.6020781231246	1.0
79269	LinkState{link=79269, prob=1.0}	1160.5990026612496	1.0
79525	LinkState{link=79525, prob=1.0}	9629.047142	1.0
79268	LinkState{link=79268, prob=1.0}	0.0	1.0
79273	LinkState{link=79273, prob=1.0}	1160.5990026612496	1.0
79531	LinkState{link=79531, prob=0.7}	0.0	0.7
79531	LinkState{link=79531, prob=0.3}	0.0	0.3
79274	LinkState{link=79274, prob=1.0}	1160.5990026612496	1.0
79279	LinkState{link=79279, prob=1.0}	1160.5990026612496	1.0
79278	LinkState{link=79278, prob=1.0}	2146.6020781231246	1.0
75317	LinkState{link=75317, prob=1.0}	0.0	1.0
75316	LinkState{link=75316, prob=1.0}	5742.6900000000005	1.0
79288	LinkState{link=79288, prob=1.0}	3307.201080784375	1.0
79292	LinkState{link=79292, prob=1.0}	0.0	1.0
79294	LinkState{link=79294, prob=1.0}	7949.597091429374	1.0
79298	LinkState{link=79298, prob=0.5}	0.0	0.5
79298	LinkState{link=79298, prob=0.5}	0.0	0.5
79300	LinkState{link=79300, prob=1.0}	3307.201080784375	1.0
79304	LinkState{link=79304, prob=1.0}	0.0	1.0
75236	LinkState{link=75236, prob=1.0}	0.0	1.0
79207	LinkState{link=79207, prob=0.6}	2677.0397115	0.6
79207	LinkState{link=79207, prob=0.3}	2038.364911820625	0.3
79207	LinkState{link=79207, prob=0.1}	446.1732852500001	0.1
79209	LinkState{link=79209, prob=1.0}	0.0	1.0
75240	LinkState{link=75240, prob=1.0}	5742.6900000000005	1.0
79210	LinkState{link=79210, prob=1.0}	7949.597091429374	1.0
79477	LinkState{link=79477, prob=1.0}	5254.536378570625	1.0
79479	LinkState{link=79479, prob=1.0}	3206.7803665717497	1.0
75385	LinkState{link=75385, prob=1.0}	6497.57723471875	1.0
79225	LinkState{link=79225, prob=1.0}	0.0	1.0
79224	LinkState{link=79224, prob=0.7}	5115.725990685625	0.7
79224	LinkState{link=79224, prob=0.2}	1461.6359973387503	0.2
79224	LinkState{link=79224, prob=0.1}	730.8179986693751	0.1
79480	LinkState{link=79480, prob=1.0}	0.0	1.0
79227	LinkState{link=79227, prob=0.7}	4062.096509314375	0.7
79227	LinkState{link=79227, prob=0.2}	0.0	0.2
79227	LinkState{link=79227, prob=0.1}	580.2995013306248	0.1
79226	LinkState{link=79226, prob=1.0}	1160.5990026612496	1.0
79482	LinkState{link=79482, prob=0.6}	4769.758254857625	0.6
79482	LinkState{link=79482, prob=0.4}	0.0	0.4
75386	LinkState{link=75386, prob=1.0}	7368.485000000001	1.0
79231	LinkState{link=79231, prob=1.0}	0.0	1.0
79487	LinkState{link=79487, prob=0.3}	962.0341099715248	0.3
79487	LinkState{link=79487, prob=0.7}	2244.746256600225	0.7
